FlightNumber,DepartureCity,ArrivalCity,DepartureTime,ArrivalTime,Duration,Price,FlightName
AI101,Delhi,Mumbai,08:00,10:30,2h 30m,3500,Delhi to Mumbai
AI102,Mumbai,Delhi,12:00,14:30,2h 30m,3700,mumbai to Delhi
AI201,Delhi,Bengaluru,09:30,12:30,3h 0m,4500,Delhi to Bengaluru
AI202,Bengaluru,Delhi,14:00,17:00,3h 0m,4700,Bengaluru to Delhi
AI301,Delhi,Chennai,07:45,10:15,2h 30m,3800,Delhi to Chennai
AI302,Chennai,Delhi,11:30,14:00,2h 30m,4000,Chennai to Delhi
6E501,Mumbai,Bengaluru,10:15,11:45,1h 30m,2800,Mumbai to Bengaluru
6E502,Bengaluru,Mumbai,13:00,14:30,1h 30m,3000,Bengaluru to Mumbai
6E601,Mumbai,Chennai,08:30,10:00,1h 30m,3200,Mumbai to Chennai
6E602,Chennai,Mumbai,11:45,13:15,1h 30m,3400,Chennai to Mumbai
SG701,Bengaluru,Chennai,09:00,10:15,1h 15m,2500,Bengaluru to Chennai
SG702,Chennai,Bengaluru,12:30,13:45,1h 15m,2700,Chennai to Bengaluru
